Listing ID,Título,Fabricante,Modelo,Capacidad,Grado,Unidades,Precio Total,Precio/Unidad,Día,Fecha,Pujas,URL
6a287994eaf5695e9ee15cc4,Apple Cell Phones - iPhone 16 Pro - Grade A+(T) - CT0100538A,Apple,iPhone 16 Pro,MIXTO:256GB/512GB/128GB/1TB,A+(T),223,145501,652.47,MARTES,2026-06-17,45,https://bstock.com/buy/listings/details/6a287994eaf5695e9ee15cc4
6a287a400bdacd5cfc702dbc,Apple Cell Phones - iPhone 14 - Grade A+(T) - CT0100718A,Apple,iPhone 14,MIXTO:128GB/256GB/512GB,A+(T),28,6925,247.32,MARTES,2026-06-17,28,https://bstock.com/buy/listings/details/6a287a400bdacd5cfc702dbc
6a287a5b430a9d69b993d177,Apple Cell Phones - iPhone 16 Pro Max - Grade A+(T) - CT0100563A,Apple,iPhone 16 Pro Max,MIXTO:256GB/512GB/1TB,A+(T),103,80250,779.13,MARTES,2026-06-17,28,https://bstock.com/buy/listings/details/6a287a5b430a9d69b993d177
6a287a419aaced6220447f87,"Apple Cell Phones - iPhone 15 Pro Max, 256GB - Grade A+(T) - CT0100497A",Apple,iPhone 15 Pro Max,256GB,A+(T),52,30601,588.48,MARTES,2026-06-17,14,https://bstock.com/buy/listings/details/6a287a419aaced6220447f87
6a287a45430a9d69b993cff8,"Apple Cell Phones - iPhone 16, 128GB - Grade A+(T) - CT0100435A",Apple,iPhone 16,128GB,A+(T),122,62475,512.09,MARTES,2026-06-17,35,https://bstock.com/buy/listings/details/6a287a45430a9d69b993cff8
6a2879bb0bdacd5cfc701ce5,Apple Cell Phones - iPhone 16 Plus - Grade A+(T) - CT0100555A,Apple,iPhone 16 Plus,MIXTO:128GB/256GB/512GB,A+(T),126,66500,527.78,MARTES,2026-06-17,38,https://bstock.com/buy/listings/details/6a2879bb0bdacd5cfc701ce5
6a287a47eaf5695e9ee1627f,Apple Cell Phones - iPhone 16 - Grade A+(T) - CT0100553A,Apple,iPhone 16,MIXTO:128GB/256GB/512GB,A+(T),132,66275,502.08,MARTES,2026-06-17,37,https://bstock.com/buy/listings/details/6a287a47eaf5695e9ee1627f
6a287a30430a9d69b993ce95,Samsung Cell Phones - Galaxy S24 Ultra - Grade A+(T) - CT0100476A,Samsung,Galaxy S24 Ultra,256GB,A+(T),70,35900,512.86,MARTES,2026-06-17,17,https://bstock.com/buy/listings/details/6a287a30430a9d69b993ce95
6a287a052724fd62aecf3e2d,Apple Cell Phones - iPhone 15 Pro Max - Grade A+(T) - CT0100679A,Apple,iPhone 15 Pro Max,MIXTO:512GB/1TB,A+(T),35,21501,614.31,MARTES,2026-06-17,41,https://bstock.com/buy/listings/details/6a287a052724fd62aecf3e2d
6a287a2d430a9d69b993ce59,"Apple Cell Phones - iPhone 15 Pro, 256GB - Grade A+(T) - CT0100509A",Apple,iPhone 15 Pro,256GB,A+(T),50,27150,543.0,MARTES,2026-06-17,31,https://bstock.com/buy/listings/details/6a287a2d430a9d69b993ce59
6a2879d6eaf5695e9ee15f53,"Apple Cell Phones - iPhone 15 Pro, 128GB - Grade A+(T) - CT0100743A",Apple,iPhone 15 Pro,128GB,A+(T),25,12850,514.0,MARTES,2026-06-17,12,https://bstock.com/buy/listings/details/6a2879d6eaf5695e9ee15f53
6a2879bf0bdacd5cfc701d77,Apple Cell Phones - iPhone 15 - Grade A+(T) - CT0100603A,Apple,iPhone 15,MIXTO:128GB/256GB/512GB,A+(T),56,25250,450.89,MARTES,2026-06-17,24,https://bstock.com/buy/listings/details/6a2879bf0bdacd5cfc701d77
