Listing ID,Título,Fabricante,Modelo,Capacidad,Grado,Unidades,Precio Total,Precio/Unidad,Día,Fecha,Pujas,URL
6a2879a42724fd62aecf2e4c,Apple Tablets - iPad Gen 10 - Grade C(T) - CT0100584A,Apple,iPad Gen 10,MIXTO:64GB/256GB,C(T),72,9987,138.71,JUEVES,2026-06-11,7,https://bstock.com/buy/listings/details/6a2879a42724fd62aecf2e4c
6a2879a2c82e1b97429e4c66,Samsung Cell Phones - Galaxy Note 20 Ultra 5G - Grade C(T) - CT0100548A,Samsung,Galaxy Note 20 Ultra 5G,512GB,C(T),164,20600,125.61,JUEVES,2026-06-11,15,https://bstock.com/buy/listings/details/6a2879a2c82e1b97429e4c66
6a2879929aaced6220446976,Samsung Cell Phones - Galaxy S24 Ultra - Grade C(T) - CT0100426A,Samsung,Galaxy S24 Ultra,512GB,C(T),135,56300,417.04,JUEVES,2026-06-11,16,https://bstock.com/buy/listings/details/6a2879929aaced6220446976
6a2879992a03cbe807497cf2,Samsung Cell Phones - Galaxy S21 Ultra 5G - Grade C(T) - CT0100758A,Samsung,Galaxy S21 Ultra 5G,128GB,C(T),24,3375,140.62,JUEVES,2026-06-11,35,https://bstock.com/buy/listings/details/6a2879992a03cbe807497cf2
6a28799a430a9d69b993b880,Samsung Cell Phones - Galaxy Z Fold5 5G - Grade C(T) - CT0100543A,Samsung,Galaxy Z Fold5 5G,MIXTO:256GB/512GB,C(T),178,39000,219.1,JUEVES,2026-06-11,42,https://bstock.com/buy/listings/details/6a28799a430a9d69b993b880
6a2879a32a03cbe807497d5a,Motorola Cell Phones - Moto G Stylus 2025 - Grade A(T) - CT0100655A,Motorola,Moto G Stylus 2025,N/A,A(T),42,5026,119.67,JUEVES,2026-06-11,19,https://bstock.com/buy/listings/details/6a2879a32a03cbe807497d5a
6a287998430a9d69b993b846,Samsung Cell Phones - Galaxy Z Fold4 5G - Grade C(T) - CT0100757A,Samsung,Galaxy Z Fold4 5G,MIXTO:512GB/256GB,C(T),24,3397,141.54,JUEVES,2026-06-11,15,https://bstock.com/buy/listings/details/6a287998430a9d69b993b846
6a28799855357a696dfacb6a,Motorola Cell Phones - Moto G 5G (2025) & Moto G Power 5G (2025) - Grade C(T) - CT0100565A,Motorola,Moto G 5G (2025),N/A,C(T),102,4501,44.13,JUEVES,2026-06-11,20,https://bstock.com/buy/listings/details/6a28799855357a696dfacb6a
6a2879ac9aaced6220446d70,Apple Tablets - iPad Gen 9 - Grade C(T) - CT0100587A,Apple,iPad Gen 9,MIXTO:64GB/256GB,C(T),66,6361,96.38,JUEVES,2026-06-11,4,https://bstock.com/buy/listings/details/6a2879ac9aaced6220446d70
6a2879a59aaced6220446c5b,Samsung Cell Phones - Galaxy S22 Ultra 5G - Grade C(T) - CT0100425A,Samsung,Galaxy S22 Ultra 5G,128GB,C(T),146,24600,168.49,JUEVES,2026-06-11,17,https://bstock.com/buy/listings/details/6a2879a59aaced6220446c5b
6a2879af9aaced6220446e00,Samsung Cell Phones - Galaxy S20 Ultra 5G - Grade C(T) - CT0100698A,Samsung,Galaxy S20 Ultra 5G,MIXTO:128GB/512GB,C(T),32,2737,85.53,JUEVES,2026-06-11,30,https://bstock.com/buy/listings/details/6a2879af9aaced6220446e00
6a2879a4430a9d69b993b9c9,Samsung Cell Phones - Galaxy Z Flip5 5G - Grade C(T) - CT0100546A,Samsung,Galaxy Z Flip5 5G,MIXTO:256GB/512GB,C(T),165,10134,61.42,JUEVES,2026-06-11,50,https://bstock.com/buy/listings/details/6a2879a4430a9d69b993b9c9
6a2879af0bdacd5cfc701b12,Samsung Cell Phones - Galaxy S22 5G - Grade C(T) - CT0100645A,Samsung,Galaxy S22 5G,256GB,C(T),45,4990,110.89,JUEVES,2026-06-11,41,https://bstock.com/buy/listings/details/6a2879af0bdacd5cfc701b12
