Listing ID,Título,Fabricante,Modelo,Capacidad,Grado,Unidades,Precio Total,Precio/Unidad,Día,Fecha,Pujas,URL
6a332eac5c2074d81eabbd3f,Apple Cell Phones - iPhone 17 Pro Max - 175 Units - Grade C(T) - ATT_RL1_20260616_050,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB,C(T),175,142349,813.42,MIERCOLES,2026-06-17,21,https://bstock.com/buy/listings/details/6a332eac5c2074d81eabbd3f
6a332eba070e611aab2c25ef,Apple Cell Phones - iPhone 17 Pro Max - 86 Units - Grade C(T) - ATT_RL1_20260616_055,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB,C(T),86,68250,793.6,MIERCOLES,2026-06-17,12,https://bstock.com/buy/listings/details/6a332eba070e611aab2c25ef
6a332eb9070e611aab2c25d7,Apple Cell Phones - iPhone 17 Pro Max - 106 Units - Grade C(T) - ATT_RL1_20260616_051,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/2TB/1TB,C(T),106,85785,809.29,MIERCOLES,2026-06-17,27,https://bstock.com/buy/listings/details/6a332eb9070e611aab2c25d7
6a332ead5c2074d81eabbddf,Apple Cell Phones - iPhone 17 Pro Max - 167 Units - Grade C(T) - ATT_RL1_20260616_052,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/1TB,C(T),167,135601,811.98,MIERCOLES,2026-06-17,22,https://bstock.com/buy/listings/details/6a332ead5c2074d81eabbddf
6a332eb0070e611aab2c2523,Apple Cell Phones - iPhone 17 Pro Max - 159 Units - Grade C(T) - ATT_RL1_20260616_053,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/1TB/2TB,C(T),159,129541,814.72,MIERCOLES,2026-06-17,21,https://bstock.com/buy/listings/details/6a332eb0070e611aab2c2523
6a332eb85c2074d81eabbec5,Apple Cell Phones - iPhone 17 Pro Max - 112 Units - Grade C(T) - ATT_RL1_20260616_054,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/1TB,C(T),112,90881,811.44,MIERCOLES,2026-06-17,25,https://bstock.com/buy/listings/details/6a332eb85c2074d81eabbec5
6a332eab5467b58e6ac97eb0,Apple Cell Phones - iPhone 17 Pro Max - 175 Units - Grade C(T) - ATT_RL1_20260616_049,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/1TB,C(T),175,141878,810.73,MIERCOLES,2026-06-17,21,https://bstock.com/buy/listings/details/6a332eab5467b58e6ac97eb0
6a332eba070e611aab2c25f5,Apple Cell Phones - iPhone 17 Pro Max - 29 Units - Grade C(T) - ATT_RL1_20260616_056,Apple,iPhone 17 Pro Max,MIXTO:512GB/256GB/1TB,C(T),29,24612,848.69,MIERCOLES,2026-06-17,20,https://bstock.com/buy/listings/details/6a332eba070e611aab2c25f5
6a332eb737d5b165192faae8,Apple Cell Phones - iPhone 17 Pro - 125 Units - Grade C(T) - ATT_RL1_20260616_103,Apple,iPhone 17 Pro,MIXTO:256GB/512GB/1TB,C(T),125,86376,691.01,MIERCOLES,2026-06-17,14,https://bstock.com/buy/listings/details/6a332eb737d5b165192faae8
6a3334f85467b58e6ac98e81,Apple Cell Phones - iPhone 17 Pro - 35 Units - Grade C(T) - ATT_RL1_20260616_255,Apple,iPhone 17 Pro,MIXTO:256GB/512GB/1TB,C(T),35,24150,690.0,MIERCOLES,2026-06-17,11,https://bstock.com/buy/listings/details/6a3334f85467b58e6ac98e81
6a33373f070e611aab2c3816,Apple Cell Phones - iPhone 17 Pro Max - 25 Units - Grade B(T) - ATT_RL1_20260616_355,Apple,iPhone 17 Pro Max,MIXTO:256GB/512GB/1TB,B(T),25,24400,976.0,MIERCOLES,2026-06-17,19,https://bstock.com/buy/listings/details/6a33373f070e611aab2c3816
6a3334f95467b58e6ac98e9d,Apple Cell Phones - iPhone 17 Pro - 33 Units - Grade C(T) - ATT_RL1_20260616_268,Apple,iPhone 17 Pro,MIXTO:256GB/512GB,C(T),33,22725,688.64,MIERCOLES,2026-06-17,10,https://bstock.com/buy/listings/details/6a3334f95467b58e6ac98e9d
6a33373da684bdbce7ee10c3,Apple Cell Phones - iPhone 17 Pro - 25 Units - Grade B(T) - ATT_RL1_20260616_349,Apple,iPhone 17 Pro,MIXTO:256GB/512GB/1TB,B(T),25,21350,854.0,MIERCOLES,2026-06-17,19,https://bstock.com/buy/listings/details/6a33373da684bdbce7ee10c3
6a3334fc67657d19ef0095ad,Apple Cell Phones - iPhone 17 Pro - 32 Units - Grade B(T) - ATT_RL1_20260616_274,Apple,iPhone 17 Pro,MIXTO:256GB/512GB,B(T),32,27250,851.56,MIERCOLES,2026-06-17,21,https://bstock.com/buy/listings/details/6a3334fc67657d19ef0095ad
6a33373d67657d19ef009998,Apple Cell Phones - iPhone 17 Pro - 25 Units - Grade B(T) - ATT_RL1_20260616_348,Apple,iPhone 17 Pro,MIXTO:256GB/1TB/512GB,B(T),25,21400,856.0,MIERCOLES,2026-06-17,20,https://bstock.com/buy/listings/details/6a33373d67657d19ef009998
